RMSE,MAE,MAPE,Directional_Accuracy,Stock,Model
0.004714666524218104,0.004422911690712128,77.93823183519874,54.22535211267606,AAPL,Early_Fusion
0.003036658521349859,0.002865331723290877,49.893103567483834,45.07042253521127,AAPL,Late_Fusion
0.005097383886562328,0.0050424849097596884,89.47692777129733,46.478873239436616,AAPL,Attention_Fusion
0.003872340559349614,0.0035307362348468378,100.47621930394925,55.633802816901415,GOOGL,Early_Fusion
0.0034538114733488824,0.0034247274322468805,98.45521457674053,39.436619718309856,GOOGL,Late_Fusion
0.0024838235750643156,0.0021715667371578233,63.34119805758179,48.59154929577465,GOOGL,Attention_Fusion
0.0021264912167214853,0.0015672621662979956,21.936982422487304,51.40845070422535,TSLA,Early_Fusion
0.011113308303598383,0.010839694085139873,165.83539884945142,51.40845070422535,TSLA,Late_Fusion
0.004882219133620992,0.0037395670629647468,47.34063350157939,42.25352112676056,TSLA,Attention_Fusion
0.001720895865603173,0.0015200378652366817,33.70655958977141,48.59154929577465,AMZN,Early_Fusion
0.01172197768098502,0.011622962375375061,270.74433648683964,50.0,AMZN,Late_Fusion
0.005688293016629613,0.005643018120406512,131.4051694828382,53.52112676056338,AMZN,Attention_Fusion
0.005979362109504216,0.005763252313487822,42.787881134224456,56.33802816901409,MSFT,Early_Fusion
0.0022852997418632633,0.0020884099092731696,15.335599523017088,44.36619718309859,MSFT,Late_Fusion
0.008681066589730096,0.008623137499132164,64.29345525202287,54.22535211267606,MSFT,Attention_Fusion
0.013821423353649193,0.013299961978618314,25.171484031942892,54.67625899280576,RELIANCE.NS,Early_Fusion
0.01533564563092348,0.01485870164398183,28.165049528150206,51.798561151079134,RELIANCE.NS,Late_Fusion
0.013826748803399706,0.013658959503467322,26.145027132401278,48.92086330935252,RELIANCE.NS,Attention_Fusion
0.04127472815705504,0.040731263459123236,25.951150348842756,51.798561151079134,TCS.NS,Early_Fusion
0.03829171338251499,0.037864954429407835,24.139573920777337,49.64028776978417,TCS.NS,Late_Fusion
0.03616290439552965,0.03573864914516316,22.785843423460285,50.35971223021583,TCS.NS,Attention_Fusion
0.015128336478735621,0.014362867967135002,21.398756986726827,49.64028776978417,INFY.NS,Early_Fusion
0.018989418255389922,0.01846679927279893,27.749617410223532,50.35971223021583,INFY.NS,Late_Fusion
0.013753729439043483,0.013100527538561257,19.623273103246923,51.798561151079134,INFY.NS,Attention_Fusion
0.3457147385541327,0.33602313388971927,37.189849025255874,63.33333333333333,CSEALL,Early_Fusion
0.3587420226332998,0.35024914750400465,38.8258821982834,53.333333333333336,CSEALL,Late_Fusion
0.357004990155606,0.3477912749902028,38.518317347477904,50.0,CSEALL,Attention_Fusion
