stock,model_type,RMSE,MAE,MAPE,Directional_Accuracy
AAPL,LSTM,0.13567296439648255,0.1161922229576469,15.281764539955686,53.72340425531915
AAPL,Technical_Transformer,0.17613069838898035,0.15441421174538367,20.177036917051637,49.46808510638298
GOOGL,LSTM,0.09209299139425223,0.07496679658276163,9.188147128921823,54.25531914893617
GOOGL,Technical_Transformer,0.20631060161151693,0.18204212967529268,22.712448009063102,60.63829787234043
TSLA,LSTM,0.054040593970232545,0.033952383922057676,8.620065099901257,45.744680851063826
TSLA,Technical_Transformer,0.0815991389956861,0.05593538541535149,13.960083534068826,51.06382978723404
AMZN,LSTM,0.06559426660474883,0.04528909802024499,5.7335011653470955,53.191489361702125
AMZN,Technical_Transformer,0.09353067831457634,0.06713019598179465,8.541389818685714,51.06382978723404
MSFT,LSTM,0.0368709188415172,0.02881455347211495,3.321354184825185,57.446808510638306
MSFT,Technical_Transformer,0.07115453875365056,0.060524122625533805,7.058033560081318,48.93617021276596
RELIANCE.NS,LSTM,0.0395710067109229,0.029058742371937004,3.7147094637210096,41.62162162162162
RELIANCE.NS,Technical_Transformer,0.08544277288387277,0.07166518886556829,8.99909256146624,49.18918918918919
TCS.NS,LSTM,0.09543825120038119,0.07709657443658392,9.146334850054043,49.72972972972973
TCS.NS,Technical_Transformer,0.1024826842557406,0.08358328042003588,10.02640052521609,51.35135135135135
INFY.NS,LSTM,0.07577318483769065,0.0630798829123776,8.647343351269035,47.56756756756757
INFY.NS,Technical_Transformer,0.13428625088734475,0.1195154738021137,17.008291989658904,43.78378378378379
